team,adjustPoints_mean,foulPoints_mean,cargoPoints_mean,completeRocketRankingPoint_mean,rocketPoints_mean,rp_mean,sandStormBonusPoints_mean,rocketLowPoints_mean,rocketMidPoints_mean,teleopPoints_mean,win_mean,autoPoints_mean,completedRocketNear_mean,habDockingRankingPoint_mean,completedRocketFar_mean,totalPoints_mean,hatchPanelPoints_mean,foulCount_mean,habClimbPoints_mean,ownPoints_mean,rocketTopPoints_mean,techFoulCount_mean
frc5546,0.0,0.2,2.4,0.0,4.133333333333334,0.06666666666666667,-1.4,1.9333333333333333,1.8,1.7333333333333334,0.5333333333333333,-1.4,0.0,-0.2,0.0,0.5333333333333333,2.933333333333333,-0.06666666666666667,-3.6,0.5333333333333333,0.4,0.0
frc4286,0.0,-0.5,-2.5,0.0,-4.416666666666667,-0.5833333333333334,1.25,-2.5,-1.0,-9.666666666666666,0.4166666666666667,1.25,0.0,-0.25,0.0,-8.916666666666666,-2.1666666666666665,0.16666666666666666,-5.0,-8.916666666666666,-0.9166666666666666,0.0
frc1086,0.0,0.5,0.0,-0.08333333333333333,-5.916666666666667,-1.4166666666666667,-0.75,-3.0833333333333335,-1.5,-8.083333333333334,0.2916666666666667,-0.75,0.0,-0.5,-0.08333333333333333,-8.333333333333334,-4.333333333333333,-0.16666666666666666,-3.75,-8.333333333333334,-1.3333333333333333,0.0
frc1522,0.0,1.8333333333333333,-1.25,0.0,-2.8333333333333335,-0.5,-2.0,-2.0,-0.5,-6.0,0.4166666666666667,-2.0,0.0,-0.16666666666666666,0.0,-6.166666666666667,-2.5,-0.3333333333333333,-2.25,-6.25,-0.3333333333333333,-0.08333333333333333
frc7429,0.0,-3.25,-1.25,0.0,-0.5,-0.5833333333333334,0.25,-0.5833333333333334,0.25,-3.0,0.3333333333333333,0.25,0.0,0.08333333333333333,0.0,-6.0,-1.5,0.25,-0.25,-5.75,-0.16666666666666666,0.25
frc7330,0.0,-1.4166666666666667,-2.0,0.0,-4.583333333333333,-1.0,-3.5,-2.25,-1.3333333333333333,-4.833333333333333,0.25,-3.5,0.0,0.0,0.0,-9.75,-2.3333333333333335,-0.08333333333333333,-0.5,-9.583333333333334,-1.0,0.16666666666666666
frc3136,0.0,-1.3571428571428572,-0.21428571428571427,0.0,-5.071428571428571,-0.14285714285714285,0.8571428571428571,-1.9285714285714286,-2.7142857142857144,-4.428571428571429,0.35714285714285715,0.8571428571428571,0.0,0.14285714285714285,0.0,-4.928571428571429,-4.0,0.21428571428571427,-0.21428571428571427,-4.857142857142857,-0.42857142857142855,0.07142857142857142
frc2998,0.0,0.4,5.0,0.0,2.533333333333333,0.6,3.4,1.9333333333333333,0.4666666666666667,6.466666666666667,0.6333333333333333,3.4,0.0,-0.06666666666666667,0.0,10.266666666666667,3.466666666666667,-0.13333333333333333,-2.0,10.266666666666667,0.13333333333333333,0.0
frc122,0.0,-0.07142857142857142,2.7857142857142856,-0.07142857142857142,-5.428571428571429,0.0,0.0,-4.214285714285714,-0.07142857142857142,-2.2857142857142856,0.42857142857142855,0.0,0.0,0.07142857142857142,0.0,-2.357142857142857,-4.428571428571429,-0.21428571428571427,-0.6428571428571429,-2.2857142857142856,-1.1428571428571428,0.07142857142857142
frc1793,0.0,2.0,-1.2,0.0,2.533333333333333,0.4,1.0,3.3333333333333335,-0.6,-0.6666666666666666,0.6,1.0,0.0,-0.13333333333333333,0.0,2.3333333333333335,2.933333333333333,-0.6666666666666666,-2.4,2.3333333333333335,-0.2,0.0
frc1080,0.0,0.5,3.5,0.0,1.25,-0.25,-1.0,0.5,0.5,-0.25,0.4583333333333333,-1.0,0.0,-0.08333333333333333,0.0,-0.75,-2.0,-0.16666666666666666,-1.75,-0.75,0.25,0.0
frc5957,0.0,-0.9285714285714286,-5.785714285714286,0.0,-4.285714285714286,-1.0714285714285714,0.0,-2.2142857142857144,-1.2142857142857142,-13.5,0.21428571428571427,0.0,0.0,-0.21428571428571427,0.0,-14.428571428571429,-3.4285714285714284,0.07142857142857142,-4.285714285714286,-14.357142857142858,-0.8571428571428571,0.07142857142857142
frc619,0.0,1.8571428571428572,-3.642857142857143,0.0,1.7142857142857142,0.2857142857142857,2.5714285714285716,1.1428571428571428,0.7142857142857143,-4.142857142857143,0.5357142857142857,2.5714285714285716,0.0,-0.14285714285714285,-0.07142857142857142,0.2857142857142857,1.8571428571428572,-0.14285714285714285,-2.357142857142857,0.14285714285714285,-0.14285714285714285,-0.14285714285714285
frc6334,0.0,2.0714285714285716,-3.0,0.0,4.571428571428571,0.14285714285714285,1.0714285714285714,2.7142857142857144,0.7142857142857143,0.21428571428571427,0.4642857142857143,1.0714285714285714,0.0,0.0,0.0,3.357142857142857,5.142857142857143,-0.21428571428571427,-1.9285714285714286,3.2142857142857144,1.1428571428571428,-0.14285714285714285
frc422,0.0,0.0,5.357142857142857,-0.07142857142857142,-1.9285714285714286,0.35714285714285715,0.6428571428571429,-0.9285714285714286,-0.7142857142857143,0.07142857142857142,0.5714285714285714,0.6428571428571429,0.0,-0.14285714285714285,0.0,0.7142857142857143,-1.8571428571428572,0.0,-3.4285714285714284,0.7142857142857143,-0.2857142857142857,0.0
frc3361,0.0,1.0833333333333333,-1.5,0.0,-2.25,0.0,1.25,-1.1666666666666667,-1.0,1.0,0.5,1.25,0.0,0.0,0.0,3.3333333333333335,0.5,-0.08333333333333333,2.0,3.25,-0.08333333333333333,-0.08333333333333333
